name,address,mail,website,longitude,latitude
#Rosenwerk,"Jagdweg , 01159 Dresden, Deutschland", "vorstand@konglomerat.org", "http://www.konglomerat.org",,
360° - Raum für Kreativität,"Prerower Platz 10, 13051 Berlin, Deutschland", "info@360grad-lichtenberg.de", "http://www.360grad-lichtenberg.de",,
3D Druckzentrum Ruhr,"Schützenbahn , 45127 Essen, Deutschland", "kontakt@3d-druckzentrum-ruhr.de", "http://www.3d-druckzentrum-ruhr.de",,
3d-repairCafe.de,"Straße des 17. Juni, 10623 Berlin, Deutschland", "make-it@3d-repairCafe.de", "http://3d-repairCafe.de/makerspace",,
Abantu Kulturlabor,"Carl-Pulfrich-Str. 4, 07745 Jena, Deutschland", "lernwelten@gmx.de", "http://kulturlabor-jena.space",,
Akademie für Suffizienz,"Groß Pankower Weg 7, 16928 Reckenthin, Deutschland", "corinna.vosse@posteo.de", "http://www.akademie-suffizienz.de",,
Aktivitetshuset,"Norderstr. , 24939 Flensburg, Deutschland", "akti@sdu.de", "http://www.aktivitetshuset.de",,
Alte Gießerei Berlin e. V.,"Herzbergstraße 123, 10365 Berlin, Deutschland", "alte.giesserei.berlin@googlemail.com", "http://gies.se",,
Alte Seegrasspinnerei - OFFENE WERKSTATT,"Plochingerstr., 72622 Nürtingen, Deutschland", "juwe@tvfk.de", "http://tvfk.de",,
Atelier für Keramik,"Kaulbachstraße 26, Schwabing, 80539 München, Deutschland", "info@kinderkeramik.de", "http://www.kinderkeramik.de",,
Atelier im Sandkasten,"Seewiesstrasse 3, 9403 Goldach, Schweiz", "info@im-sandkasten.ch", "http://im-sandkasten.ch",,
atelier-micaela.de,"atelier-micaela, Glühwürmchenweg 4, 13589 Berlin-Spandau, 13589 Berlin, Deutschland", "atelier-micaela@gmx.de", "http://www.atelier-micaela.de",,
AtelierWerkstatt Machwerk e.V.,"Schulstr. 1, 80634 München, Deutschland", "mail@machwerk-muenchen.de", "http://www.machwerk-muenchen.de",,
Attraktor e.V.,"Eschelsweg 4, 1. Stock, 22767 Hamburg, Deutschland", "vorstand@attraktor.org", "http://www.attraktor.org",,
Ausbesserungswert Leverkusen e.V.,"c/o Haus der Jugend, Werkstättenstraße 39, ggü. Altes Kesselhaus, Neue Bahnstadt Opladen, 51379 Leverkusen, Deutschland", "info@ausbesserungswert.de", "http://www.ausbesserungswert.de",,
Awiro-Rostock,"Niklotstraße 5/6, 18057 Rostock, Deutschland", "awiro@systemausfall.org", "http://awiro.org",,
Backspace (Hackerspace Bamberg),"Spiegelgraben 41, 96052 Bamberg, Deutschland", "vorstand@hackerspace-bamberg.de", "https://www.hackerspace-bamberg.de",,
bastelbude Dinslaken,"Ziegelstrasse 122, 46539 Dinslaken, Deutschland", "no-mails-please@grade.de", "http://bastelbude.grade.de/",,
bauer+planer Entwurfswerkstatt,"Stockmeyerstr 45, 20457 Hamburg, Deutschland", "richter@bauer-planer.de", "http://www.bauer-planer.de",,
betahaus,"Prinzessinenstr. 19-20, 10969 Berlin, Deutschland", "kontact@betahaus.de", "http://www.betahaus.com/berlin/space/",,
Bike Kitchen Nürnberg,"Dagmarstr. 14, 90482 Nürnberg, Deutschland", "bikekitchen@rueckenwind-nuernberg.de", "http://bikekitchen.rueckenwind-nuernberg.de/",,
Bikekitchen Augsburg,"Bikekitchen Augsburg, c/o ADFC Augsburg e.V., Heilig-Kreuz-Str. 30, 86152 Augsburg, Deutschland", "bikekitchen_augsburg@gmx.de", "http://www.bikekitchen-augsburg.de/",,
Bikekitchen München,"Grafingerstr.6, Fach 28, 81671 München, Deutschland", "info@bikekitchen.de", "http://www.bikekitchen.de",,
Binary Kitchen,"Walderdorffstr. 13b, 93053  Regensburg, Deutschland", "vorstand@binary-kitchen.de", "http://www.binary-kitchen.de",,
Bonn im Wandel,"im Haus Müllestumpe, An der Rheindorfer Burg 22, 53117 Bonn, Deutschland", "info@bonn-im-wandel.de", "http://bonnimwandel.de/offene-werkstatt-repair-cafe/",,
brigk Makerspace,"Schollstraße 8, 85055 Ingolstadt, Deutschland", "makerspace@brigk.digital", "https://www.brigk.digital/makerspace",,
Brinke 26 e.V.,"Brinkstraße 26, 17489 Greifswald, Deutschland", "brinke26ev@posteo.de", "https://greifswa.sabic.uberspace.de/alternativwiki/doku.php?id=projekte:brinke",,
bukiprojekt:buchkinder werkstatt,"Treffpunkt Freizeit Am Neuen Garten 64, 14469 Potsdam, Deutschland", "bukiprojekt@gmx.de", "http://www.bukiprojekt.de",,
Bürgernetz Gera-Greiz e.V.,"An der Salzstraße , 07551 Gera, Deutschland", "kontakt@freifunk-gera-greiz.de", "https://www.buergernetz-gera-greiz.de/",,
Café Kaputt,"Merseburgerstraße 102, 04177 Leipzig, Deutschland", "cafekaputt@lebenlernenleipzig.de", "http://www.reparieren-in-leipzig.de",,
CCC HH,"Zeiseweg 9, 22765 Hamburg, Deutschland", "mail@hamburg.ccc.de", "http://hamburg.ccc.de",,
ChaosChemnitz,"Augustusburger Straße 102, 09126 Chemnitz, Deutschland", "kontakt@chaoschemnitz.de", "http://www.chaoschemnitz.de",,
ChaosStuff,"Halle Victor Hugo , Room 201 & 203 (2nd Floor) , 60 Avenue Victor Hugo , L-1750 Luxemburg, Luxemburginfo@c3l.lu", "http://chaosstuff.lu",,
Chaostreff Dortmund e.V.,"Braunschweiger Str 22, 44145 Dortmund, Deutschland", "presse@chaostreff-dortmund.de", "http://www.chaostreff-dortmund.de",,
CityLAB Berlin,"Platz der Luftbrücke 4, 12101  Berlin, Deutschland", "bildung@technologiestiftung-berlin.de", "https://www.citylab-berlin.org",,
cleverinside.de,"Dammstraße 72, 03222 Lübbenau, Deutschland", "cleverinside@jfvnet.de", "http://www.cleverinside.de",,
Code for Heilbronn e. V.,"Am Wollhaus 1, 74072  Heilbronn , Deutschland", "info@codeforheilbronn.de", "http://www.codeforheilbronn.de",,
ColorLabor,"ColorLabor, Tannenheckerweg 3, Siebdruckwerkstatt und mehr, 34127 Kassel, Deutschland", "colorlabor@dabei-kassel.de",,
CoMakingSpace,"Siemensstraße 40, 69123 Heidelberg, Deutschland", "info@comaking.space", "https://comakingspace.org/",,
coyote Druckwerkstatt/STUDIO114,"Friedrich-Engels-Straße 22, Haus 1, 14473 Potsdam, Deutschland", "hello@studio114.de", "http://www.studio114.de",,
Craftschoepferey,"Stedinger Landstraße 5 , 27751 Delmenhorst, Deutschland", "kurse@craftschoepferey.de", "https://www.craftschoepferey.de/offene-werkstatt/",,
Creapolis,"Schlachthofstraße 1, 96450  Coburg, Deutschland", "markus.neufeld@hs-coburg.de", "http://www.creapolis-coburg.de",,
